"sku","qty"
"ele8000w16crc","0.0000"
"ele1800w12crc","0.0000"
"ele1800w12grc","0.0000"
"ele9601w5fggtrc","0.0000"
"ele9601w5pwgtrc","0.0000"
"ele2801w2cgtrc","0.0000"
"ele2801w2ggtrc","0.0000"
"ele2800w3grc","0.0000"
"ele2800w3crc","0.0000"
"ele2031w6crc","0.0000"
"ele8000f12grc","0.0000"
"ele8000f12crc","0.0000"
"ele9202w9dbrc","0.0000"
"ele9202w9pwrc","0.0000"
"ele9202w9fgrc","0.0000"
"ele1900f10grc","0.0000"
"ele1900f10crc","0.0000"
"ele2800w3ggtrc","0.0000"
"ele2800w3cgtrc","0.0000"
"ele6801f16grc","0.0000"
"ele6801f16crc","0.0000"
"ele8000d12crc","0.0000"
"ele9202w9dbgtrc","0.0000"
"ele9202w9pwgtrc","0.0000"
"ele9202w9fggtrc","0.0000"
"ele8033w16grc","0.0000"
"ele8033w16crc","0.0000"
"ele2801w3grc","0.0000"
"ele2801w3crc","0.0000"
"ele2011w16grc","0.0000"
"ele2015d17dbrc","0.0000"
"ele2015d17crc","0.0000"
"ele2015d17grc","0.0000"
"ele2800w2gtgtrc","0.0000"
"ele9602w10fgrc","0.0000"
"ele9602w10pwrc","0.0000"
"ele9602w10dbrc","0.0000"
"ele8949w12grc","0.0000"
"ele8949w12crc","0.0000"
"ele2800w3whrc","0.0000"
"ele8031w16grc","0.0000"
"ele8031w16crc","0.0000"
"ele2801w3ggtrc","0.0000"
"ele2801w3cgtrc","0.0000"
"ele1900f12grc","0.0000"
"ele1900f12crc","0.0000"
"ele1902f12crc","0.0000"
"ele1902f12grc","0.0000"
"ele1802w12sgrc","0.0000"
"ele1802w12scrc","0.0000"
"ele1803w12sgrc","0.0000"
"ele1803w12scrc","0.0000"
"ele2800w3whgtrc","0.0000"
"ele1800f10grc","0.0000"
"ele1800w12sgrc","0.0000"
"ele1800w12scrc","0.0000"
"ele2032w6crc","0.0000"
"ele8000f16grc","0.0000"
"ele8000f16crc","0.0000"
"ele2528w12grc","0.0000"
"ele2528w12crc","0.0000"
"ele9602w10fggtrc","0.0000"
"ele9602w10pwgtrc","0.0000"
"ele2528f12crc","0.0000"
"ele2528f12grc","0.0000"
"ele2030w8crc","0.0000"
"ele2033w6crc","0.0000"
"ele1900f14grc","0.0000"
"ele1900f14crc","0.0000"
"ele1902f14crc","0.0000"
"ele1902f14grc","0.0000"
"ele2800w3gtgtrc","0.0000"
"ele8000d16crc","0.0000"
"ele8000d16grc","0.0000"
"ele2800w5crc","0.0000"
"ele2800w5grc","0.0000"
"ele2800d12grc","0.0000"
"ele2800d12crc","0.0000"
"ele2031w8crc","0.0000"
"ele9103d10dbrc","0.0000"
"ele9103d10pwrc","0.0000"
"ele2528f14crc","0.0000"
"ele2528f14grc","0.0000"
"ele1800f12crc","0.0000"
"ele2800w5cgtrc","0.0000"
"ele7838d20crc","0.0000"
"ele7838d20grc","0.0000"
"ele2801w5grc","0.0000"
"ele2801w5crc","0.0000"
"ele6801d14crc","0.0000"
"ele6801d14grc","0.0000"
"ele2800d12ggtrc","0.0000"
"ele2800d12cgtrc","0.0000"
"ele2801d12crc","0.0000"
"ele2801d12grc","0.0000"
"ele2032w8crc","0.0000"
"ele9104d10dbrc","0.0000"
"ele9104d10fgrc","0.0000"
"ele9104d10pwrc","0.0000"
"ele9603w14dbrc","0.0000"
"ele9603w14fgrc","0.0000"
"ele9603w14pwrc","0.0000"
"ele9203f13dbrc","0.0000"
"ele9203f13pwrc","0.0000"
"ele9203f13fgrc","0.0000"
"ele2801w5ggtrc","0.0000"
"ele2801w5cgtrc","0.0000"
"ele9103d10fggtrc","0.0000"
"ele9103d10pwgtrc","0.0000"
"ele7855d21crc","0.0000"
"ele7855d21grc","0.0000"
"ele7955d21crc","0.0000"
"ele7955d21grc","0.0000"
"ele1800f14crc","0.0000"
"ele1800f14grc","0.0000"
"ele2801d12cgtrc","0.0000"
"ele2801d12ggtrc","0.0000"
"ele9203d13dbrc","0.0000"
"ele9203d13fgrc","0.0000"
"ele9203d13pwrc","0.0000"
"ele2033w8crc","0.0000"
"ele8000f19grc","0.0000"
"ele8000f19crc","0.0000"
"ele1900f16grc","0.0000"
"ele1900f16crc","0.0000"
"ele2528d12crc","0.0000"
"ele2528d12grc","0.0000"
"ele9104d10fggtrc","0.0000"
"ele9104d10pwgtrc","0.0000"
"ele9204f17dbrc","0.0000"
"ele9204f17fgrc","0.0000"
"ele9204f17pwrc","0.0000"
"ele2800w7crc","0.0000"
"ele2800w7grc","0.0000"
"ele2528f16grc","0.0000"
"ele2528f16crc","0.0000"
"ele9203f13fggtrc","0.0000"
"ele9203f13dbgtrc","0.0000"
"ele9203f13pwgtrc","0.0000"
"ele2032w18crc","0.0000"
"ele7856d24grc","0.0000"
"ele7856d24crc","0.0000"
"ele7956d24grc","0.0000"
"ele7956d24crc","0.0000"
"ele9603w14fggtrc","0.0000"
"ele9603w14pwgtrc","0.0000"
"ele2030f12crc","0.0000"
"ele2015d24crc","0.0000"
"ele2015d24dbrc","0.0000"
"ele2015d24grc","0.0000"
"ele9203d13fggtrc","0.0000"
"ele9203d13dbgtrc","0.0000"
"ele9203d13pwgtrc","0.0000"
"ele2800d20grc","0.0000"
"ele2800d20crc","0.0000"
"ele2033w18crc","0.0000"
"ele1900f18grc","0.0000"
"ele1900f18crc","0.0000"
"ele2800w7ggtrc","0.0000"
"ele2800w7cgtrc","0.0000"
"ele2801w7grc","0.0000"
"ele2031f12crc","0.0000"
"ele8001d19crc","0.0000"
"ele8001d19grc","0.0000"
"ele2801w7crc","0.0000"
"ele2011f20crc","0.0000"
"ele2011f20grc","0.0000"
"ele2032w26crc","0.0000"
"ele2034f16crc","0.0000"
"ele9204f17fggtrc","0.0000"
"ele9204f17dbgtrc","0.0000"
"ele9204f17pwgtrc","0.0000"
"ele2801d20crc","0.0000"
"ele2801d20grc","0.0000"
"ele2528d14grc","0.0000"
"ele2528d14crc","0.0000"
"ele2032f12crc","0.0000"
"ele2035f16crc","0.0000"
"ele2033w26crc","0.0000"
"ele2801w7cgtrc","0.0000"
"ele2801w7ggtrc","0.0000"
"ele2030f14crc","0.0000"
"ele2033f12crc","0.0000"
"ele1800f16crc","0.0000"
"ele1800f16grc","0.0000"
"ele2800d20ggtrc","0.0000"
"ele2800d20cgtrc","0.0000"
"ele6801d19grc","0.0000"
"ele6801d19crc","0.0000"
"ele2032w30crc","0.0000"
"ele8949f16grc","0.0000"
"ele8949f16crc","0.0000"
"ele9204d17dbrc","0.0000"
"ele9204d17fgrc","0.0000"
"ele9204d17pwrc","0.0000"
"ele2016d24crc","0.0000"
"ele2016d24grc","0.0000"
