"If Yes, the approved bargain products can be applied with current discounts (from cart price rules, coupon codes, affiliate policies)","If Yes, the approved bargain products can be applied with current discounts (from cart price rules, coupon codes, affiliate policies)"
"Bargain Usage Time","Bargain Usage Time"
"Day(s). Number of days that customers can use their bargain price after being approved by the admin. If empty or 0, there is no time limitation.","Day(s). Number of days that customers can use their bargain price after being approved by the admin. If empty or 0, there is no time limitation."
"Commit Minimum Quantity","Commit Minimum Quantity"
"If Yes, the customer will have to fill in a quantity to get bargain authorization. If admins approve the bargain, the customer will have to buy with the minimum of this quantity.","If Yes, the customer will have to fill in a quantity to get bargain authorization. If admins approve the bargain, the customer will have to buy with the minimum of this quantity."
"Bargain Form","Bargain Form"
"Use Popup","Use Popup"
"If Yes, the form will display via popup. If No, the form will appear right below the Price Bargain button","If Yes, the form will display via popup. If No, the form will appear right below the Price Bargain button"
"Additional Fields","Additional Fields"
"The default form includes the fields: bargain price and customer's email.","The default form includes the fields: bargain price and customer's email."
"Button Label","Button Label"
"Default: Price Bargain","Default: Price Bargain"
"Notification Email","Notification Email"
"Install <a href=""https://www.mageplaza.com/magento-2-smtp/?utm_source=mageplaza&utm_medium=mageplaza&utm_campaign=mageplaza-review&utm_content=SMTP"" target=""_blank"">Mageplaza_SMTP</a> to avoid sending emails to spam box.","Install <a href=""https://www.mageplaza.com/magento-2-smtp/?utm_source=mageplaza&utm_medium=mageplaza&utm_campaign=mageplaza-review&utm_content=SMTP"" target=""_blank"">Mageplaza_SMTP</a> to avoid sending emails to spam box."
Sender,Sender
"Admin Email","Admin Email"
"Separated by comma(,). When the customer submits a bargain request, a notification email will be sent to the admin via this address.","Separated by comma(,). When the customer submits a bargain request, a notification email will be sent to the admin via this address."
"Confirmation Email","Confirmation Email"
"Approval Email","Approval Email"
"Rejection Email","Rejection Email"
Delete,Delete
"Delete Request(s)","Delete Request(s)"
"Are you sure you want to delete the selected request(s)?","Are you sure you want to delete the selected request(s)?"
Approve,Approve
"Approve Request(s)","Approve Request(s)"
"Are you sure you want to approve the selected request(s)?","Are you sure you want to approve the selected request(s)?"
Reject,Reject
"Reject Request(s)","Reject Request(s)"
"Are you sure you want to reject the selected request(s)?","Are you sure you want to reject the selected request(s)?"
ID,ID
Quantity,Quantity
Email,Email
Date,Date
