"%1 days ago","%1 days ago"
"%1 day ago","%1 day ago"
"%1 hours ago","%1 hours ago"
"%1 hour ago","%1 hour ago"
"%1 minutes ago","%1 minutes ago"
"%1 minute ago","%1 minute ago"
"%1 seconds ago","%1 seconds ago"
"-- Please select --","-- Please select --"
"%1 should be 0 or 1.","%1 should be 0 or 1."
"priority should be greater than 0.","priority should be greater than 0."
"%1 is invalid.","%1 is invalid."
"The upload file type should be an array","The upload file type should be an array"
"The file content must be valid base64 encoded data.","The file content must be valid base64 encoded data."
"The file size cannot more than 2MB.","The file size cannot more than 2MB."
"The file type is not allow.","The file type is not allow."
"Provided file name contains forbidden characters.","Provided file name contains forbidden characters."
"We couldn't move this file: %1.","We couldn't move this file: %1."
"Reply's File is not found.","Reply's File is not found."
"File is not found.","File is not found."
"Something went wrong while downloading the File.","Something went wrong while downloading the File."
"The entity that was requested doesn't exist. Verify the entity and try again.","The entity that was requested doesn't exist. Verify the entity and try again."
"The entity can't be deleted. %1","The entity can't be deleted. %1"
"Module is disabled.","Module is disabled."
"The entity can't be saved. %1","The entity can't be saved. %1"
"The entity that was requested doesn't exist. Verify the rule and try again.","The entity that was requested doesn't exist. Verify the rule and try again."
"%1 is required.","%1 is required."
"This product cannot return.","This product cannot return."
"qty_rma is invalid.","qty_rma is invalid."
"%1 is invalid","%1 is invalid"
"Not allow upload attachment.","Not allow upload attachment."
"Cannot edit request.","Cannot edit request."
"Not allow RMA Request","Not allow RMA Request"
"This request cannot be canceled.","This request cannot be canceled."
"The request has canceled.","The request has canceled."
"Cannot modify created at.","Cannot modify created at."
"This request ID does not belong to this customer.","This request ID does not belong to this customer."
"%1 should be %2 or %3","%1 should be %2 or %3"
"Email address is invalid.","Email address is invalid."
"ZIP Code","ZIP Code"
"All Items","All Items"
"Each Item","Each Item"
"RMA Increment ID","RMA Increment ID"
"-- Please Select --","-- Please Select --"
Logo,Logo
"Order Shipping Address","Order Shipping Address"
"Print Date","Print Date"
"Request Date","Request Date"
"Create New Credit Memo","Create New Credit Memo"
"Reorder (Replace return Product by create new order)","Reorder (Replace return Product by create new order)"
"Add Shipping Label","Add Shipping Label"
No,No
"Only request agent","Only request agent"
"All above address","All above address"
"Top Link","Top Link"
"Footer Link","Footer Link"
"RMA Request Page","RMA Request Page"
Text,Text
"Text Area","Text Area"
"Only ID","Only ID"
Custom,Custom
"Default Name","Default Name"
"Admin Argent Name","Admin Argent Name"
"Order Attribute","Order Attribute"
"Subtotal (Base)","Subtotal (Base)"
"Total Refunded (Base)","Total Refunded (Base)"
"Total Invoiced (Base)","Total Invoiced (Base)"
"Total Items Quantity","Total Items Quantity"
"Total Weight","Total Weight"
"Purchase Point","Purchase Point"
"Payment Method","Payment Method"
"Shipping Method","Shipping Method"
"Shipping Postcode","Shipping Postcode"
"Shipping Region","Shipping Region"
"Shipping State/Province","Shipping State/Province"
